y_true,y_pred_lgbm,y_pred_baseline
13529.0,0.0,14828.0
13585.0,0.0,14695.0
13693.0,0.0,14610.0
13962.0,0.0,14790.0
14344.0,0.0,15311.0
14186.0,0.0,15066.0
13814.0,0.0,14755.0
13226.0,0.0,14110.0
12387.0,0.0,13264.0
11740.0,0.0,12363.0
11209.0,0.0,11960.0
10882.0,0.0,11601.0
10812.0,0.0,11565.0
10789.0,0.0,11600.0
10909.0,0.0,11849.0
11170.0,0.0,12425.0
11727.0,0.0,13119.0
12197.0,0.0,13648.0
12563.0,0.0,14158.0
12849.0,0.0,14369.0
13006.0,0.0,14233.0
13102.0,0.0,14022.0
13075.0,0.0,13939.0
12924.0,0.0,13665.0
12798.0,0.0,13529.0
12820.0,0.0,13585.0
13024.0,0.0,13693.0
13369.0,0.0,13962.0
14244.0,0.0,14344.0
14079.0,0.0,14186.0
13698.0,0.0,13814.0
13155.0,0.0,13226.0
12514.0,0.0,12387.0
11985.0,0.0,11740.0
11730.0,0.0,11209.0
11603.0,0.0,10882.0
11734.0,0.0,10812.0
11902.0,0.0,10789.0
12697.0,0.0,10909.0
14355.0,0.0,11170.0
15533.0,0.0,11727.0
15637.0,0.0,12197.0
15685.0,0.0,12563.0
15731.0,0.0,12849.0
15743.0,0.0,13006.0
15658.0,0.0,13102.0
15660.0,0.0,13075.0
15557.0,0.0,12924.0
15446.0,0.0,12798.0
15430.0,0.0,12820.0
15298.0,0.0,13024.0
15480.0,0.0,13369.0
16187.0,0.0,14244.0
15987.0,0.0,14079.0
15448.0,0.0,13698.0
14439.0,0.0,13155.0
13421.0,0.0,12514.0
12753.0,0.0,11985.0
12287.0,0.0,11730.0
12101.0,0.0,11603.0
12035.0,0.0,11734.0
12351.0,0.0,11902.0
13058.0,0.0,12697.0
14710.0,0.0,14355.0
15936.0,0.0,15533.0
15915.0,0.0,15637.0
15776.0,0.0,15685.0
15715.0,0.0,15731.0
15588.0,0.0,15743.0
15505.0,0.0,15658.0
15510.0,0.0,15660.0
15399.0,0.0,15557.0
15261.0,0.0,15446.0
15148.0,0.0,15430.0
15085.0,0.0,15298.0
15536.0,0.0,15480.0
16222.0,0.0,16187.0
16118.0,0.0,15987.0
15640.0,0.0,15448.0
14621.0,0.0,14439.0
13580.0,0.0,13421.0
12652.0,0.0,12753.0
12211.0,0.0,12287.0
11906.0,0.0,12101.0
11826.0,0.0,12035.0
11979.0,0.0,12351.0
12741.0,0.0,13058.0
14106.0,0.0,14710.0
15258.0,0.0,15936.0
15459.0,0.0,15915.0
15438.0,0.0,15776.0
15506.0,0.0,15715.0
15499.0,0.0,15588.0
15524.0,0.0,15505.0
15441.0,0.0,15510.0
15242.0,0.0,15399.0
15062.0,0.0,15261.0
15063.0,0.0,15148.0
15085.0,0.0,15085.0
15453.0,0.0,15536.0
16008.0,0.0,16222.0
15873.0,0.0,16118.0
15408.0,0.0,15640.0
14452.0,0.0,14621.0
13427.0,0.0,13580.0
12604.0,0.0,12652.0
12127.0,0.0,12211.0
11815.0,0.0,11906.0
11671.0,0.0,11826.0
11868.0,0.0,11979.0
12574.0,0.0,12741.0
14134.0,0.0,14106.0
15213.0,0.0,15258.0
15261.0,0.0,15459.0
15337.0,0.0,15438.0
15399.0,0.0,15506.0
15359.0,0.0,15499.0
15401.0,0.0,15524.0
15364.0,0.0,15441.0
15260.0,0.0,15242.0
15143.0,0.0,15062.0
15028.0,0.0,15063.0
14908.0,0.0,15085.0
15091.0,0.0,15453.0
15637.0,0.0,16008.0
15581.0,0.0,15873.0
15309.0,0.0,15408.0
14353.0,0.0,14452.0
13355.0,0.0,13427.0
12510.0,0.0,12604.0
12022.0,0.0,12127.0
11753.0,0.0,11815.0
11530.0,0.0,11671.0
11744.0,0.0,11868.0
12355.0,0.0,12574.0
13861.0,0.0,14134.0
15040.0,0.0,15213.0
15295.0,0.0,15261.0
15491.0,0.0,15337.0
15539.0,0.0,15399.0
15530.0,0.0,15359.0
15571.0,0.0,15401.0
15507.0,0.0,15364.0
15397.0,0.0,15260.0
15071.0,0.0,15143.0
15134.0,0.0,15028.0
14942.0,0.0,14908.0
15103.0,0.0,15091.0
15460.0,0.0,15637.0
15198.0,0.0,15581.0
14782.0,0.0,15309.0
14057.0,0.0,14353.0
13084.0,0.0,13355.0
12200.0,0.0,12510.0
11676.0,0.0,12022.0
11297.0,0.0,11753.0
11036.0,0.0,11530.0
10996.0,0.0,11744.0
11212.0,0.0,12355.0
11683.0,0.0,13861.0
12416.0,0.0,15040.0
13002.0,0.0,15295.0
13572.0,0.0,15491.0
14004.0,0.0,15539.0
14066.0,0.0,15530.0
13948.0,0.0,15571.0
13763.0,0.0,15507.0
13572.0,0.0,15397.0
13549.0,0.0,15071.0
13577.0,0.0,15134.0
13518.0,0.0,14942.0
13684.0,0.0,15103.0
13978.0,0.0,15460.0
13929.0,0.0,15198.0
13519.0,0.0,14782.0
12902.0,0.0,14057.0
12187.0,0.0,13084.0
11433.0,0.0,12200.0
10875.5,0.0,11676.0
10318.0,0.0,11297.0
10263.0,0.0,11036.0
10296.0,0.0,10996.0
10508.0,0.0,11212.0
10975.0,0.0,11683.0
11548.0,0.0,12416.0
12202.0,0.0,13002.0
12671.0,0.0,13572.0
12770.0,0.0,14004.0
12821.0,0.0,14066.0
12822.0,0.0,13948.0
12902.0,0.0,13763.0
12802.0,0.0,13572.0
12688.0,0.0,13549.0
12830.0,0.0,13577.0
13380.0,0.0,13518.0
14067.0,0.0,13684.0
13930.0,0.0,13978.0
13843.0,0.0,13929.0
13341.0,0.0,13519.0
12831.0,0.0,12902.0
12181.0,0.0,12187.0
11730.0,0.0,11433.0
11434.0,0.0,10875.5
